id,name,description,category,brand,price,stock,rating,reviews,image_url,created_at
1,Luxury Necklace,Elegant necklace designed for style and fashion.,Necklaces,Nike,31.51,175,3.8,377,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 00:01:00
2,Graphic T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,H&M,91.15,46,4.2,52,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:02:00
3,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Nike,62.84,199,4.7,314,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 00:03:00
4,Classic Blue Jeans,Stylish and durable pants designed for comfort.,Pants,Adidas,70.64,135,4.0,337,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:04:00
5,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Puma,108.5,136,3.8,343,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:05:00
6,Classic White Tee,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,66.73,179,4.7,65,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 00:06:00
7,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Puma,59.21,123,3.8,145,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:07:00
8,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Puma,60.13,114,4.7,83,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 00:08:00
9,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Puma,55.79,62,4.9,169,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:09:00
10,Streetwear T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,70.79,157,4.7,497,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:10:00
11,Classic Office Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,H&M,108.16,167,4.2,242,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:11:00
12,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Zara,118.8,75,4.8,288,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:12:00
13,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Adidas,55.23,186,3.9,226,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,2026-03-01 00:13:00
14,Streetwear T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,82.94,152,4.3,430,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:14:00
15,Sport Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Nike,90.57,182,4.9,377,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:15:00
16,Classic Office Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Adidas,37.29,25,4.9,412,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:16:00
17,Graphic T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,20.17,171,4.2,117,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 00:17:00
18,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,66.53,186,4.4,292,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:18:00
19,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Zara,66.72,132,4.6,395,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 00:19:00
20,Classic Blue Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,53.36,30,4.0,198,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 00:20:00
21,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Adidas,22.21,42,4.9,116,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:21:00
22,Graphic T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,94.58,112,4.8,66,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 00:22:00
23,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,86.56,134,3.7,424,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 00:23:00
24,Classic White Tee,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,30.12,33,5.0,105,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:24:00
25,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Levis,104.27,143,4.2,196,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:25:00
26,Silver Necklace,Elegant necklace designed for style and fashion.,Necklaces,Adidas,39.58,132,4.4,56,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,2026-03-01 00:26:00
27,Training Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,116.02,135,3.9,296,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:27:00
28,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Nike,105.54,152,4.2,111,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 00:28:00
29,Classic Blue Jeans,Stylish and durable pants designed for comfort.,Pants,Nike,115.28,121,4.3,466,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:29:00
30,Stretch Denim Pants,Stylish and durable pants designed for comfort.,Pants,Zara,39.68,88,4.8,121,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 00:30:00
31,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,99.91,11,4.8,121,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:31:00
32,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,87.01,62,4.3,255,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:32:00
