item_id,name,category,occasion,weather,gender,style,color,brand,price,rating,website,img,buy_link
0,Manyavar Grey Casual Accessory,Accessory,travel,rainy,unisex,casual,grey,Manyavar,84.54,4.1,Flipkart,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Manyavar,https://www.flipkart.com/search?q=grey+casual+Accessory
1,Biba Grey Formal Footwear,Footwear,interview,hot,unisex,formal,grey,Biba,124.28,3.0,Ajio,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Biba,https://www.ajio.com/search?q=grey+formal+Footwear
2,Zara Yellow Trendy Accessory,Accessory,party,rainy,male,trendy,yellow,Zara,33.72,3.4,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Zara,https://www.myntra.com/search?q=yellow+trendy+Accessory
3,Levi's Red Formal Top,Top,office,rainy,male,formal,red,Levi's,44.45,4.5,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Levi's,https://www.nykaafashion.com/search?q=red+formal+Top
4,Nike Grey Sporty Top,Top,casual,rainy,unisex,sporty,grey,Nike,96.72,3.9,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Nike,https://www.nykaafashion.com/search?q=grey+sporty+Top
5,Adidas Black Formal Footwear,Footwear,interview,rainy,female,formal,black,Adidas,58.96,3.9,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+Adidas,https://www.amazon.com/search?q=black+formal+Footwear
6,Adidas White Formal Bottom,Bottom,wedding,cold,unisex,formal,white,Adidas,30.8,4.9,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Adidas,https://www.ajio.com/search?q=white+formal+Bottom
7,Adidas Green Sporty Bottom,Bottom,travel,rainy,female,sporty,green,Adidas,97.3,3.9,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Adidas,https://www.flipkart.com/search?q=green+sporty+Bottom
8,Zara Black Sporty Top,Top,gym,hot,female,sporty,black,Zara,131.67,3.4,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Top+Zara,https://www.myntra.com/search?q=black+sporty+Top
9,Fossil Black Formal Footwear,Footwear,wedding,hot,unisex,formal,black,Fossil,72.14,4.2,Ajio,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Fossil,https://www.ajio.com/search?q=black+formal+Footwear
10,Puma Black Casual Accessory,Accessory,casual,cold,female,casual,black,Puma,34.39,4.5,Myntra,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Puma,https://www.myntra.com/search?q=black+casual+Accessory
11,Fossil Black Formal Bottom,Bottom,office,hot,unisex,formal,black,Fossil,130.42,3.9,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Fossil,https://www.ajio.com/search?q=black+formal+Bottom
12,Nike Pink Sporty Bottom,Bottom,gym,cold,male,sporty,pink,Nike,50.7,4.4,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Nike,https://www.ajio.com/search?q=pink+sporty+Bottom
13,Manyavar Red Formal Top,Top,interview,cold,male,formal,red,Manyavar,24.75,4.4,Ajio,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Manyavar,https://www.ajio.com/search?q=red+formal+Top
14,Allen Solly Yellow Trendy Top,Top,party,cold,male,trendy,yellow,Allen Solly,21.18,4.1,Nykaa Fashion,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+Allen Solly,https://www.nykaafashion.com/search?q=yellow+trendy+Top
15,Zara Grey Formal Footwear,Footwear,interview,hot,unisex,formal,grey,Zara,113.81,3.4,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Zara,https://www.nykaafashion.com/search?q=grey+formal+Footwear
16,Fossil Grey Formal Footwear,Footwear,interview,hot,unisex,formal,grey,Fossil,109.09,3.3,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Fossil,https://www.myntra.com/search?q=grey+formal+Footwear
17,H&M White Sporty Top,Top,travel,cold,unisex,sporty,white,H&M,16.14,4.8,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+H&M,https://www.myntra.com/search?q=white+sporty+Top
18,Levi's Green Formal Footwear,Footwear,party,hot,female,formal,green,Levi's,79.89,4.6,Amazon,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Levi's,https://www.amazon.com/search?q=green+formal+Footwear
19,Allen Solly White Traditional Bottom,Bottom,party,rainy,female,traditional,white,Allen Solly,36.59,4.9,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Allen Solly,https://www.ajio.com/search?q=white+traditional+Bottom
20,Allen Solly Pink Formal Accessory,Accessory,office,rainy,unisex,formal,pink,Allen Solly,85.59,3.3,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Allen Solly,https://www.myntra.com/search?q=pink+formal+Accessory
21,Levi's Blue Trendy Accessory,Accessory,wedding,hot,unisex,trendy,blue,Levi's,102.69,3.6,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Levi's,https://www.ajio.com/search?q=blue+trendy+Accessory
